Date,Open,High,Low,Close,Adj Close,Volume
2018-05-15,973.819153,990.609985,967.479248,969.757690,949.001221,4846430
2018-05-16,964.854126,964.854126,943.506531,947.171753,926.898621,8695009
2018-05-17,950.341736,950.985596,932.659302,936.473145,916.429138,4778345
2018-05-18,936.720825,944.546631,923.248535,925.081177,905.280945,5279612
2018-05-21,922.010254,926.913757,913.441467,922.604614,902.857422,6687690
2018-05-22,924.387756,925.229736,916.314270,918.047852,898.398132,5219596
2018-05-23,917.304871,917.304871,900.613098,903.683960,884.341736,4610857
2018-05-24,905.417542,912.351807,901.603699,907.250183,887.831604,5368392
2018-05-25,907.398743,914.729309,905.863342,912.153687,892.630188,8206579
2018-05-28,916.215210,918.295471,909.479065,911.757446,892.242371,5247105
2018-05-29,912.847107,919.286072,905.813782,908.835144,889.382690,8250871
2018-05-30,906.259583,914.531189,898.087036,907.497803,888.073914,6048012
2018-05-31,912.351807,913.639587,905.962402,912.698547,893.163330,17112487
2018-06-01,911.361206,926.963318,909.825745,921.812134,902.081848,8848926
2018-06-04,924.635376,935.135864,921.812134,932.015442,912.066833,5653442
2018-06-05,933.947144,946.032532,932.164001,938.751587,918.658691,8047086
2018-06-06,938.107666,947.023193,933.798523,945.438171,925.202209,4229195
2018-06-07,945.933472,966.835388,945.487732,962.229004,941.633728,6922300
2018-06-08,957.276001,977.286316,951.579956,975.106934,954.236023,6594521
2018-06-11,977.831116,990.560486,969.856750,973.422913,952.587952,6931136
2018-06-12,974.165894,990.609985,971.094971,987.786743,966.644348,7515794
2018-06-13,990.609985,996.454590,980.208618,993.086548,971.830811,5982192
2018-06-14,988.083923,1002.299194,978.128296,998.485352,977.113953,5536858
2018-06-15,996.553650,1013.889343,989.867065,1004.676697,983.172791,11401764
2018-06-18,999.327393,1010.867981,997.544250,1006.013977,984.481506,5705952
2018-06-19,1004.379456,1005.271057,984.319641,986.697083,965.578003,6406255
2018-06-20,986.647583,1013.294983,985.508362,1009.679260,988.068237,7262014
2018-06-21,1013.839783,1026.271973,1011.710022,1022.260010,1000.379822,10609377
2018-06-22,1018.743347,1019.535828,998.980652,1002.992615,981.524780,16323253
2018-06-25,1001.902954,1006.955078,992.888428,995.018250,973.721069,5246962
2018-06-26,996.553650,996.553650,966.092407,969.757690,949.001221,8145067
2018-06-27,969.311890,976.147095,953.660278,956.780701,942.075928,9043473
2018-06-28,952.966797,959.405762,931.470581,936.076904,921.690369,8662575
2018-06-29,940.187988,966.340088,940.088867,963.318726,948.513489,8041914
2018-07-02,963.219666,963.219666,948.013794,951.579956,936.955200,6724054
2018-07-03,955.938660,969.262390,951.332336,962.179504,947.391785,5115293
2018-07-04,962.674805,982.685120,961.882324,980.802979,965.729004,5048125
2018-07-05,987.638184,998.931152,949.598755,955.443359,940.759216,18896793
2018-07-06,955.690979,973.769653,955.443359,968.370789,953.487915,9248105
2018-07-09,977.831116,990.609985,974.264954,987.737244,972.556763,5219197
2018-07-10,993.334167,1018.842407,990.609985,1016.068665,1000.452759,10543516
2018-07-11,1015.375244,1031.125977,1008.292419,1029.045654,1013.230286,8747208
2018-07-12,1034.543579,1088.680420,1032.809937,1072.186768,1055.708374,24337829
2018-07-13,1070.354126,1098.586548,1069.858765,1089.472900,1072.728882,18137593
2018-07-16,1089.472900,1098.487427,1062.974121,1066.094482,1049.709717,6658302
2018-07-17,1068.174805,1085.659058,1059.556519,1082.092896,1065.462280,6530578
2018-07-18,1088.086060,1094.227783,1067.184204,1082.291016,1065.657349,4726480
2018-07-19,1083.033936,1104.530151,1076.149170,1094.475464,1077.654541,5485122
2018-07-20,1102.945190,1127.809448,1101.459229,1118.052002,1100.868652,8094154
2018-07-23,1119.191162,1119.191162,1102.647949,1109.780396,1092.724243,5897877
2018-07-24,1111.464478,1116.169800,1097.001465,1100.518188,1083.604370,4511507
2018-07-25,1099.577148,1112.455078,1093.831543,1104.678711,1087.700928,6006077
2018-07-26,1099.676147,1110.969116,1097.397705,1100.220947,1083.311768,6485768
2018-07-27,1108.987915,1126.719849,1101.706909,1119.240723,1102.039063,6742782
2018-07-30,1119.389282,1146.432983,1117.408081,1140.588379,1123.058716,14003964
2018-07-31,1140.192139,1179.222168,1136.378296,1174.863525,1156.807129,14006901
2018-08-01,1179.222168,1191.604736,1174.269043,1181.153809,1163.000732,9796282
2018-08-02,1180.311768,1180.311768,1155.001709,1157.379150,1139.591553,6308209
2018-08-03,1163.966797,1172.386963,1158.567993,1165.898438,1147.979736,6708388
2018-08-06,1165.650757,1184.769531,1164.313477,1181.401489,1163.244629,4054489
2018-08-07,1183.679932,1190.118896,1165.947998,1173.080322,1155.051147,4097939
2018-08-08,1173.872803,1211.020752,1173.872803,1206.265747,1187.726685,7987438
2018-08-09,1210.030151,1220.134399,1200.619385,1206.513428,1187.970581,6911830
2018-08-10,1199.628662,1203.591187,1191.010376,1192.892578,1174.558960,3615156
2018-08-13,1186.305054,1188.682495,1171.594482,1176.547485,1158.465332,4712408
2018-08-14,1178.825928,1205.770508,1173.179443,1199.232422,1180.801392,5349770
2018-08-16,1191.951538,1204.581787,1184.274292,1189.524536,1171.242920,6039198
2018-08-17,1197.647461,1203.987427,1188.781494,1192.446777,1174.120117,3867305
2018-08-20,1196.557861,1225.186401,1196.310181,1223.304321,1204.503418,7679143
2018-08-21,1225.632202,1239.748413,1215.478516,1235.488770,1216.500732,7348644
2018-08-23,1234.597290,1262.037109,1226.771484,1257.529907,1238.203003,8043652
2018-08-24,1253.369263,1267.931274,1248.218140,1265.504272,1246.054810,6715059
2018-08-27,1267.386475,1283.682007,1266.742554,1279.372803,1259.710205,5624995
2018-08-28,1283.830566,1310.577026,1282.839966,1306.614624,1286.533447,8777168
2018-08-29,1303.939941,1316.520752,1278.085083,1282.047485,1262.343872,11182203
2018-08-30,1281.453125,1284.969727,1258.520508,1262.482910,1243.079956,9943410
2018-08-31,1258.074707,1258.074707,1224.988281,1229.990967,1211.087280,15450941
2018-09-03,1233.309448,1246.088379,1214.537354,1217.608276,1198.894775,12315666
2018-09-04,1223.552002,1243.017456,1217.459717,1230.288086,1211.379761,8922552
2018-09-05,1230.832886,1240.887573,1197.152222,1215.478516,1196.797974,10422792
2018-09-06,1218.598877,1253.815063,1213.843994,1249.555420,1230.351074,11301160
2018-09-07,1253.022583,1269.318115,1242.720215,1266.593994,1247.127686,10794143
2018-09-10,1263.027710,1265.009033,1238.361572,1244.057617,1224.937744,7125920
2018-09-11,1247.177979,1256.489746,1222.660400,1226.078003,1207.234375,10977849
2018-09-12,1240.045654,1246.880859,1217.311157,1240.739014,1221.670044,8142006
2018-09-14,1247.574219,1263.622070,1235.934570,1241.382935,1222.304199,7953264
2018-09-17,1239.005493,1239.005493,1210.129150,1214.388794,1195.724854,6818107
2018-09-18,1214.487915,1227.762085,1202.947266,1205.720947,1187.190308,7688607
2018-09-19,1212.506592,1212.506592,1189.722656,1199.381104,1180.947876,11372574
2018-09-21,1207.553589,1225.780884,1172.386963,1206.067627,1187.531616,19250938
2018-09-24,1203.046265,1228.257324,1193.189697,1220.481079,1201.723633,10198351
2018-09-25,1223.898682,1233.309448,1183.778931,1219.044678,1200.309326,9807108
2018-09-26,1227.365845,1242.175415,1215.627075,1239.649414,1220.597290,6457463
2018-09-27,1243.215576,1251.140381,1225.879883,1241.977295,1222.889404,10911205
2018-09-28,1248.069580,1259.758789,1235.587891,1246.137817,1226.985962,11177984
2018-10-01,1245.890259,1245.890259,1192.694458,1220.134399,1201.382202,7402199
2018-10-03,1217.954956,1227.960205,1188.781494,1193.784180,1175.437012,7446497
2018-10-04,1178.330566,1179.222168,1095.614624,1111.712036,1094.626221,23432473
2018-10-05,1089.175659,1104.827393,1028.401733,1039.001343,1023.033020,22151189
2018-10-08,1040.140503,1106.511353,1015.920105,1098.982788,1082.092529,24913364
